source_id,incident_id,short_description,description,category,subcategory,priority,impact,urgency,resolution,data_source
1919,ZENODO_TRAIN_00001,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION]),File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION]),Fileservice,unknown,unknown,,,,zenodo_it_support_tickets
1584,ZENODO_TRAIN_00002,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,unknown,unknown,,,,zenodo_it_support_tickets
584,ZENODO_TRAIN_00003,[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Support general,unknown,unknown,,,,zenodo_it_support_tickets
1393,ZENODO_TRAIN_00004,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([LOCATION]-WSUS01) [COMPANY] [SERVER] -[LOCATION]Server - UP -> DOWN,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([LOCATION]-WSUS01) [COMPANY] [SERVER] -[LOCATION]Server - UP -> DOWN,Support general,unknown,unknown,,,,zenodo_it_support_tickets
8636,ZENODO_TRAIN_00005,LVS not respondingLVS will not except my password to let me log on.,LVS not respondingLVS will not except my password to let me log on.,Fileservice,unknown,unknown,,,,zenodo_it_support_tickets
1033,ZENODO_TRAIN_00006,[TICKET ID] - New Support Ticket received  - Phone user message,[TICKET ID] - New Support Ticket received  - Phone user message,Support general,unknown,unknown,,,,zenodo_it_support_tickets
2248,ZENODO_TRAIN_00007,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,unknown,unknown,,,,zenodo_it_support_tickets
3017,ZENODO_TRAIN_00008,File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR ,File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,unknown,unknown,,,,zenodo_it_support_tickets
6671,ZENODO_TRAIN_00009,Java Installation on [SERVER],Java Installation on [SERVER],Software,unknown,unknown,,,,zenodo_it_support_tickets
1892,ZENODO_TRAIN_00010,Shared Mailbox Access - [TICKET ID] - [EMAIL],Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,unknown,unknown,,,,zenodo_it_support_tickets
